influenced,influences,link,name
"Babette Babich,Wolfgang Drechsler,Jürgen Habermas,Dieter Henrich,Hans Robert Jauss,Reinhart Koselleck,Dennis J. Schmidt,Gianni Vattimo,John McDowell,Karl Jaspers,Leo Strauss","Friedrich Wilhelm Joseph Schelling,Plato,Aristotle,Augustine,Immanuel Kant,Georg Wilhelm Friedrich Hegel,Edmund Husserl,Martin Heidegger,Karl Jaspers,Leo Strauss",https://en.wikipedia.org/wiki/Hans-Georg_Gadamer,Hans-Georg Gadamer
,,https://en.wikipedia.org/wiki/Viktor_Frankl,Viktor Frankl
"Peter Kreeft,Alice von Hildebrand,Pope Benedict XVI","Edmund Husserl,St. Augustine of Hippo,Max Scheler,Adolf Reinach,Gabriel Marcel,Thomas Aquinas,Josef Pieper,Soren Kierkegaard,Wolfgang Amadeus Mozart,Alice von Hildebrand,Hans Urs von Balthasar",https://en.wikipedia.org/wiki/Dietrich_von_Hildebrand,Dietrich von Hildebrand
"Lewis A. Coser,Mark Granovetter,Georg Lukács,Max Weber,Barry Wellman,Harrison White,Emil Cioran","Immanuel Kant,Max Weber",https://en.wikipedia.org/wiki/Georg_Simmel,Georg Simmel
Moritz Geiger,Edmund Husserl,https://en.wikipedia.org/wiki/Theodor_Lipps,Theodor Lipps
,,https://en.wikipedia.org/wiki/Karol_Wojty%C5%82a,Pope John Paul II
,,https://en.wikipedia.org/wiki/Paul_Hensel,Paul Hensel
,,https://en.wikipedia.org/wiki/Stephen_Greenblatt,Stephen Greenblatt
"Walter Charleton,Thomas Hobbes,John Locke,Gottfried Leibniz","Aristotle,Epicurus",https://en.wikipedia.org/wiki/Pierre_Gassendi,Pierre Gassendi
,,https://en.wikipedia.org/wiki/Virgil,Virgil
Western philosophy,"Socrates,Plato,Philo of Larissa",https://en.wikipedia.org/wiki/Cicero,Cicero
,"G. E. M. Anscombe,J. L. Austin,Noam Chomsky,Gottlob Frege,Paul Grice,David Hume,Bertrand Russell,P. F. Strawson,Ludwig Wittgenstein",https://en.wikipedia.org/wiki/John_Searle,John Searle
,Bertrand Russell,https://en.wikipedia.org/wiki/Keith_Donnellan,Keith Donnellan
,,https://en.wikipedia.org/wiki/Martin_Hollis_(philosopher),Martin Hollis (philosopher)
,,https://en.wikipedia.org/wiki/Ramchandra_Gandhi,Ramchandra Gandhi
"Western philosophy,Plato,Xenophon","Prodicus,Anaxagoras,Archelaus (philosopher),Diotima of Mantinea",https://en.wikipedia.org/wiki/Socrates,Socrates
